state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Illinois,Chicago,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Masters,4-6 months,3-4,Yes,6.0,6.0,5.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,3.5,2625.0,750.0
Illinois,Chicago,Asian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Bachelor Degree,4-6 months,1-2,Yes,7.0,7.0,6.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,1.5,1275.0,850.0
Illinois,chicago,Black/African Descent,18-25,Single,High School Diploma,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,3-4,Yes,7.0,5.0,7.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Illinois,Chicago,Latin / Hispanic,18-25,Single,Bachelor Degree,East Indian,36-45,Divorced,Bachelor Degree,4-6 months,3-4,No,8.0,8.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
Illinois,Chicago,White / Caucasian,36-45,Single,High School Diploma,White / Caucasian,46-55,Married,High School Diploma,7-9 months,3-4,Yes,7.0,9.0,9.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
Illinois,Chicago,Latin / Hispanic,18-25,Single,Some College,Middle Eastern,46-55,Separated,Bachelor Degree,More than 1 year,1-2,Yes,6.0,6.0,9.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Illinois,Chicago,White / Caucasian,26-35,Single,Some College,White / Caucasian,56-65,Divorced,Some College,More than 1 year,10+,Yes,6.0,6.0,5.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,10.0,2500.0,250.0
Illinois,Rockford,Latin / Hispanic,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Married,Doctorate,More than 1 year,7-8,Yes,4.0,4.0,3.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,7.5,3500.0,466.6666666666667
Illinois,Oak brook,White / Caucasian,26-35,Single,Some College,,46-55,Single,Doctorate,Less than a month,1-2,No,1.0,1.0,1.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Illinois,Machesney Park,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,56-65,Divorced,High School Diploma,1-3 months,3-4,Yes,7.0,6.0,7.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Illinois,Chicago,Mixed,18-25,Single,High School Diploma,,26-35,Single,Bachelor Degree,Less than a month,1-2,No,3.0,3.0,2.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
Illinois,Chicago,Asian,26-35,Single,Masters,White / Caucasian,46-55,Single,Doctorate,1-3 months,3-4,No,9.0,9.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Illinois,Chicago,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,26-35,Single,Bachelor Degree,1-3 months,3-4,Yes,8.0,6.0,5.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Illinois,Naperville,Black/African Descent,18-25,Single,High School Diploma,Black/African Descent,36-45,Separated,Some College,Less than a month,1-2,Yes,1.0,1.0,1.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
Illinois,Schaumburg,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Married,Bachelor Degree,1-3 months,1-2,No,5.0,5.0,6.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
Illinois,Chicago,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,4-6 months,1-2,Yes,8.0,9.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
Illinois,Chicago,Black/African Descent,26-35,Single,High School Diploma,Latin / Hispanic,66-75,Separated,Associate Degree,4-6 months,3-4,Yes,5.0,3.0,4.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,3.5,2275.0,650.0
Illinois,Sarasota,White / Caucasian,36-45,Single,Associate Degree,Mixed,36-45,Single,High School Diploma,More than 1 year,1-2,Yes,1.0,1.0,10.0,Weekly Allowance,$600-$699,,sugar_baby,1.5,2600.0,1733.3333333333333
Illinois,Chicago,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,36-45,Married,Doctorate,Less than a month,3-4,Yes,8.0,10.0,8.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,3.5,2625.0,750.0
Illinois,Chicago,Latin / Hispanic,26-35,Single,Some College,,46-55,Married,Masters,4-6 months,1-2,Yes,1.0,1.0,1.0,Weekly Allowance,$700-$799,,sugar_baby,1.5,3000.0,2000.0
Illinois,Quincy,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,46-55,Separated,Bachelor Degree,Less than a month,3-4,No,6.0,6.0,8.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
Illinois,Chicago,White / Caucasian,36-45,Open Relationship,Doctorate,White / Caucasian,46-55,Divorced,Bachelor Degree,1-3 months,3-4,No,10.0,9.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Illinois,Chicago,White / Caucasian,36-45,Open Relationship,Doctorate,White / Caucasian,46-55,Married,Bachelor Degree,1-3 months,1-2,No,9.0,9.0,10.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Illinois,chicago,Mixed,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Masters,1-3 months,1-2,Yes,7.0,7.0,8.0,Weekly Allowance,"$1k - $1,999",,sugar_baby,1.5,6000.0,4000.0
Indiana,Indianapolis,White / Caucasian,36-45,Divorced,Bachelor Degree,White / Caucasian,46-55,Single,Masters,Less than a month,3-4,No,9.0,8.0,9.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Indiana,Hobart,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Open Relationship,Bachelor Degree,4-6 months,3-4,Yes,1.0,1.0,1.0,Weekly Allowance,$300-$399,,sugar_baby,3.5,1400.0,400.0
Indiana,Vincennes,White / Caucasian,36-45,Separated,Some College,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,1-2,Yes,3.0,4.0,5.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
Iowa,Sioux City,White / Caucasian,18-25,Single,Some College,White / Caucasian,46-55,Divorced,Some College,Less than a month,1-2,No,4.0,5.0,5.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Iowa,Des Moines,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Married,Masters,7-9 months,3-4,Yes,3.0,7.0,10.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Iowa,des moines,Mixed,18-25,Single,High School Diploma,White / Caucasian,46-55,Divorced,Bachelor Degree,1-3 months,3-4,Yes,5.0,5.0,5.0,Weekly Allowance,$500-$599,,sugar_baby,3.5,2200.0,628.5714285714286
Iowa,Des moines,White / Caucasian,18-25,Single,Some College,White / Caucasian,36-45,Divorced,Bachelor Degree,Less than a month,3-4,No,10.0,10.0,10.0,Weekly Allowance,< $300,,sugar_baby,3.5,600.0,171.42857142857142
Kansas,Kansas City,Mixed,36-45,Divorced,Bachelor Degree,White / Caucasian,56-65,Divorced,Some College,1-3 months,5-6,No,6.0,8.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,5.5,3025.0,550.0
Kansas,Wichita,White / Caucasian,18-25,Single,Less than High School,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,5-6,Yes,8.0,6.0,8.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,5.5,1500.0,272.72727272727275
Kansas,Kansas,White / Caucasian,18-25,Single,Some College,Black/African Descent,36-45,Divorced,Associate Degree,Less than a month,1-2,No,6.0,2.0,5.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
Kansas,Wichita,Black/African Descent,18-25,Open Relationship,Some College,,46-55,Single,High School Diploma,Less than a month,1-2,No,3.0,3.0,4.0,Weekly Allowance,$300-$399,,sugar_baby,1.5,1400.0,933.3333333333334
Kansas,Overland park,Latin / Hispanic,46-55,Single,Bachelor Degree,White / Caucasian,56-65,Married,Bachelor Degree,Less than a month,1-2,No,3.0,3.0,3.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
Michigan,Bloomfield Hills,White / Caucasian,36-45,Single,Bachelor Degree,Middle Eastern,46-55,Divorced,Some College,More than 1 year,7-8,Yes,7.0,7.0,9.0,Weekly Allowance,"$1k - $1,999",,sugar_baby,7.5,6000.0,800.0
Michigan,Lansing,White / Caucasian,36-45,Divorced,Associate Degree,White / Caucasian,56-65,Divorced,Masters,10-12 months,3-4,Yes,10.0,9.0,9.0,Gifts and Experiences,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Michigan,Kalamazoo,Latin / Hispanic,18-25,Single,Some College,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,1-2,"Yes, No",10.0,10.0,10.0,Weekly Allowance,$900-$999,,sugar_baby,1.5,3800.0,2533.3333333333335
Michigan,Bloomfield Hills,White / Caucasian,36-45,Separated,Bachelor Degree,White / Caucasian,66-75,Divorced,Masters,4-6 months,1-2,Yes,4.0,3.0,2.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,1.5,975.0,650.0
Michigan,Detroit Metro,Asian,36-45,Single,Bachelor Degree,White / Caucasian,56-65,Married,Doctorate,7-9 months,5-6,Yes,10.0,10.0,10.0,Monthly Allowance,,"$6k-$6,999",sugar_baby,5.5,6500.0,1181.8181818181818
Michigan,Grand Rapids,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Divorced,Some College,1-3 months,1-2,No,3.0,1.0,1.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
Michigan,Lansing,White / Caucasian,36-45,Divorced,Some College,White / Caucasian,66-75,Open Relationship,Masters,More than 1 year,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),$900-$999,,sugar_baby,3.5,3325.0,950.0
Michigan,Detroit,White / Caucasian,26-35,Divorced,Bachelor Degree,White / Caucasian,46-55,Separated,Masters,10-12 months,1-2,Yes,10.0,6.0,8.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
Michigan,Detroit,Mixed,36-45,Single,Associate Degree,White / Caucasian,56-65,Separated,Bachelor Degree,1-3 months,1-2,Yes,10.0,9.0,10.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
Michigan,Detroit,White / Caucasian,36-45,Separated,Bachelor Degree,White / Caucasian,56-65,Married,Masters,4-6 months,3-4,Yes,6.0,6.0,4.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Michigan,Detroit,White / Caucasian,36-45,Separated,Bachelor Degree,East Indian,46-55,Single,Masters,1-3 months,5-6,No,3.0,3.0,2.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,5.5,1500.0,272.72727272727275
Michigan,Detroit,White / Caucasian,36-45,Separated,Bachelor Degree,White / Caucasian,56-65,Divorced,Masters,7-9 months,1-2,No,5.0,6.0,6.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Michigan,Detroit,White / Caucasian,36-45,Separated,Bachelor Degree,East Indian,46-55,Divorced,Doctorate,1-3 months,1-2,No,7.0,7.0,6.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,1.5,975.0,650.0
Michigan,Detroit,Asian,36-45,Single,Bachelor Degree,White / Caucasian,46-55,Married,Masters,More than 1 year,5-6,Yes,10.0,10.0,10.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,5.5,4500.0,818.1818181818181
Michigan,Sault ste marie,Native American,36-45,Divorced,Less than High School,White / Caucasian,46-55,Divorced,Some College,Less than a month,3-4,No,3.0,3.0,5.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
Michigan,Grand Rapids,Mixed,18-25,Single,Some College,Black/African Descent,46-55,Married,Masters,Less than a month,1-2,No,5.0,4.0,4.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,1.5,675.0,450.0
Michigan,Detroit,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,1-2,No,5.0,5.0,5.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Michigan,Rochester Hills,White / Caucasian,36-45,Divorced,Bachelor Degree,White / Caucasian,56-65,Divorced,Doctorate,1-3 months,3-4,No,7.0,4.0,4.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Michigan,GR,White / Caucasian,18-25,Single,Some College,White / Caucasian,46-55,Divorced,Bachelor Degree,Less than a month,1-2,Yes,8.0,8.0,8.0,Weekly Allowance,$500-$599,,sugar_baby,1.5,2200.0,1466.6666666666667
Michigan,Saginaw,Latin / Hispanic,18-25,Married,Less than High School,White / Caucasian,46-55,Married,Bachelor Degree,Less than a month,3-4,Yes,7.0,6.0,4.0,Monthly Allowance,,"$6k-$6,999",sugar_baby,3.5,6500.0,1857.142857142857
Michigan,Traverse City,White / Caucasian,46-55,Single,Some College,White / Caucasian,56-65,Married,Associate Degree,More than 1 year,3-4,Yes,10.0,9.0,7.0,Monthly Allowance,,"$6k-$6,999",sugar_baby,3.5,6500.0,1857.142857142857
Michigan,Ann Arbor,White / Caucasian,36-45,Divorced,Some College,,46-55,Divorced,Bachelor Degree,4-6 months,3-4,Yes,9.0,8.0,9.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Michigan,Detroit,Latin / Hispanic,26-35,Single,Some College,East Indian,26-35,Single,Bachelor Degree,1-3 months,5-6,No,7.0,7.0,9.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,5.5,1925.0,350.0
Michigan,Waterford,White / Caucasian,18-25,Open Relationship,High School Diploma,Middle Eastern,46-55,Divorced,Some College,Less than a month,5-6,No,10.0,8.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,5.5,2475.0,450.0
Minnesota,Saint Cloud,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Married,Doctorate,1-3 months,9-10,Yes,8.0,6.0,6.0,Gifts and Experiences,,"$4k-$4,999",sugar_baby,9.5,4500.0,473.6842105263158
Minnesota,Minneapolis,White / Caucasian,18-25,Single,Some College,White / Caucasian,46-55,Divorced,Some College,4-6 months,3-4,Yes,8.0,10.0,10.0,Monthly Allowance,,"$5k-$5,999",sugar_baby,3.5,5500.0,1571.4285714285713
Minnesota,Minneapolis,White / Caucasian,26-35,Single,Bachelor Degree,All sorts,46-55,Single,Bachelor Degree,More than 1 year,3-4,No,8.0,5.0,5.0,Pay Per Meet (PPM),"$2k - $2,999",,sugar_baby,3.5,8750.0,2500.0
Minnesota,Rural Area,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Married,Doctorate,4-6 months,10+,Yes,7.0,7.0,9.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,10.0,4500.0,450.0
Minnesota,Minneapolis,White / Caucasian,26-35,Single,Some College,Middle Eastern,46-55,Open Relationship,Bachelor Degree,4-6 months,5-6,Yes,7.0,6.0,9.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,5.5,2500.0,454.54545454545456
Minnesota,St Paul,White / Caucasian,36-45,Divorced,Associate Degree,White / Caucasian,56-65,Divorced,Masters,More than 1 year,1-2,Yes,7.0,7.0,6.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
Missouri,Kansas City,Black/African Descent,26-35,Single,High School Diploma,Black/African Descent,46-55,Married,Masters,4-6 months,3-4,Yes,8.0,10.0,10.0,Monthly Allowance,,"$5k-$5,999",sugar_baby,3.5,5500.0,1571.4285714285713
Missouri,Kansas City,White / Caucasian,36-45,Divorced,Bachelor Degree,Black/African Descent,36-45,Single,Doctorate,1-3 months,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Missouri,Kansas City,Black/African Descent,26-35,Divorced,Some College,Black/African Descent,36-45,Married,Masters,Less than a month,3-4,Yes,10.0,7.0,8.0,Weekly Allowance,$300-$399,,sugar_baby,3.5,1400.0,400.0
Missouri,Kansas City,White / Caucasian,36-45,Single,Bachelor Degree,White / Caucasian,66-75,Divorced,Bachelor Degree,1-3 months,3-4,Yes,4.0,3.0,1.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Missouri,Kansas City,Black/African Descent,26-35,Single,Some College,Black/African Descent,36-45,Married,Masters,1-3 months,3-4,"Yes, No",8.0,6.0,10.0,Weekly Allowance,$300-$399,,sugar_baby,3.5,1400.0,400.0
Missouri,St. Louis,White / Caucasian,26-35,Single,Masters,Middle Eastern,26-35,Married,Doctorate,1-3 months,5-6,Yes,10.0,8.0,9.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,5.5,3025.0,550.0
Missouri,Kansas City,Black/African Descent,36-45,Divorced,Bachelor Degree,White / Caucasian,66-75,Married,Masters,More than 1 year,1-2,Yes,8.0,8.0,10.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,1.5,2500.0,1666.6666666666667
